# name			coordinate	start1	end1	start2	end2	start3	end3	offset1	offset2	offset3	bias1	bias2	speed	ang1	ang2	wire_diam
#FE_LEBT:PM_D0885	Fxy		82.	30.	-100.	-150.	-999	-999	-14.63	8.59 	-999.	80	80	10	0	90
#FE_LEBT:PM_D0912	Fxy		82.	32.	-100.	-160.	-999	-999	2.88	-6.85	-999.	80	80	10	0	90
# ?? - 2019/11/4
#FE_LEBT:PM_D0945	Luvy		82.	-60.	73.	-205.	-999	-999	4.0	-3.8	-5.7	80	80	10	45	135
# ?? - 2019/11/6
#FE_LEBT:PM_D0945	Luvy		82.	-60.	73.	-205.	-999	-999	4.95	-1.95	-5.0	80	80	10	45	135
#FE_LEBT:PM_D0961	Luvy		82.	-60.	73.	-190.	-999	-999	-0.1	-0.8	1.9	80	80	10	45	135
# ?? - 2019/11/6
#FE_LEBT:PM_D0972	Luvy		80.	-60.	75.	-190.	-999	-999	0.0	0.0	0.0	80	80	10	45	135
# ?? - 2019/11/6
#FE_LEBT:PM_D0783	Luvx		65.	-80.	80.	-40.	-40	-170	-3.55	1.92	-0.17	80	80	10	45	135 # ~ 2020/12/01
#FE_LEBT:PM_D0783	Luvx		80.	-60.	80.	-40.	-40	-170	-3.55	1.92	-0.17	80	80	10	45	135 # ~ 2021/02/19
#FE_LEBT:PM_D0808	Luvx		82.	-65.	75.	-40.	-40	-161	2.64	-2.28	-0.88	80	80	10	45	135 # ~ 2021/02/21
#FE_LEBT:PM_D0824	Luvx		82.	-65.	75.	-160.	-160	-161	-3.8	-1.6	4.0	80	80	10	45	135 # ~ 2021/02/19
#FE_LEBT:PM_D0856	Fxy		82.	26.	44.	-12.	-12	-13	6.2	1.49	-999.	80	80	3	0	90 # 2019/10 ~
#FE_LEBT:PM_D0885	Fxy		82.	30.	44.	-12.	-12	-13	-8.01	12.19 	-999.	80	80	3	0	90 # 2019/10 ~
#FE_LEBT:PM_D0912	Fxy		82.	32.	44.	-12.	-12	-13	5.65	-4.85	-999.	80	80	3	0	90 # 2019/10 ~
